abbot
abbot
acalproj
afick
amsn
a-note
axcrypt
bibdesk
bochs
bom
brlcad
care2002
celestia
cobalt
compiere
cre-osc-loaded
datacrow
dc-qt
dita-ot
dolibarr
drjava
drm
drvback
ebxmlrr
ejbca
eraser
filebot
filezilla
foam
freedos-32
freeglut
freertos
gretl
gscribble
hsqldb
httpmail-plugin
jsignpdf
jtds
labplot
ledger-smb
log4cplus
luma
mapivi
mpc-hc
mscore
mumble
openmosix
openmsx
ophcrack
passwordsafe
peazip
pmd
processdash
processhacker
pymol
qingy
sabnzbdplus
sweethome3d
synfig
taskcoach
wikindx
winmerge
workbench
xbtt
xims
xrms
xviservicethief
zerowine
zinjai
murderpd
agena
0xcafed0c5
bibeln
fidocadj
gramps
luckybackup
bitcointrader
scrabble
saltos
speed-dreams
hummstrumm
nn-col
goozzee
widmexam
pdfreporter
adg
javaqemu
gtkiostream
photoprinter
mapnetworkdrive
scrollout
adasdl
upm
ialertu
eulersharp
latexdiff.berlios
